,tanggal,pm10,pm25,so2,co,o3,no2,co2
0,2021-10-28,57.99317,100.1929,44.26679,12.050803,35.54616,20.30386,1371.6014
1,2021-10-29,56.300735,96.62936,43.372116,11.649677,32.426353,20.128416,1379.4935
2,2021-10-30,55.973557,95.74759,43.192993,11.324682,29.963072,19.443512,1436.7815
3,2021-10-31,61.40112,105.72479,43.110046,13.5395565,32.40017,19.88257,1522.6771
4,2021-11-01,62.81651,112.17851,43.43059,11.8999605,27.830494,25.329292,1364.825
5,2021-11-02,59.98554,95.10615,45.052147,11.588838,32.254246,29.727219,1370.7758
6,2021-11-03,57.687027,82.17584,43.38314,12.497865,27.195484,16.486671,1537.1288
7,2021-11-04,57.930904,90.33099,41.930687,13.699677,23.173698,13.582817,1535.933
8,2021-11-05,57.268993,95.53626,42.826363,12.507843,28.839462,24.419376,1483.2927
9,2021-11-06,54.51419,90.9727,42.21818,13.25649,28.40013,26.38076,1615.403
10,2021-11-07,53.449207,81.34786,44.58994,13.375968,29.777983,26.177822,1700.7444
11,2021-11-08,52.09305,81.09035,45.136784,12.829967,21.083918,26.110397,1400.7056
12,2021-11-09,53.148716,82.16145,43.08472,12.554305,31.354242,23.841187,1450.6746
13,2021-11-10,53.59279,84.30826,42.77769,13.105133,30.12876,22.300102,1612.7609
14,2021-11-11,54.859722,94.746346,41.889103,13.545508,23.76697,22.41579,1521.59
15,2021-11-12,53.731438,90.48089,40.816956,11.833238,30.829382,18.832169,1243.7491
16,2021-11-13,50.015713,82.51256,41.228394,9.916652,26.493238,17.727182,1237.7767
17,2021-11-14,53.22038,82.204666,40.05042,11.679265,21.74736,18.859346,1282.3085
18,2021-11-15,54.075024,87.56826,39.947952,12.598766,33.007706,17.445444,1284.2985
19,2021-11-16,50.82782,85.08265,38.798786,10.370289,32.15955,15.38708,1081.1354
20,2021-11-17,46.805313,76.901054,37.41877,9.260533,20.398016,14.994011,809.1261
21,2021-11-18,49.483532,80.26556,36.739517,9.768262,31.642532,15.564417,902.40454
22,2021-11-19,51.43298,92.18573,37.64763,10.573852,30.829445,14.980314,929.54285
23,2021-11-20,43.23892,78.586624,37.665688,8.792897,33.08772,13.982068,817.0001
24,2021-11-21,37.500896,62.819756,36.91362,6.7238507,38.56336,12.471571,697.5249
25,2021-11-22,40.052082,70.66457,37.66119,9.723775,28.97795,14.173193,874.23816
26,2021-11-23,43.267593,74.87799,36.426556,10.43422,26.957874,13.047614,898.0746
27,2021-11-24,37.009098,72.00242,37.721565,7.5224805,36.002663,10.947964,639.07074
28,2021-11-25,34.93949,60.532944,37.970585,4.6517696,30.242413,11.740937,559.8433
29,2021-11-26,37.971767,66.39359,37.450737,7.7471766,25.310637,13.772671,737.6609
30,2021-11-27,39.059303,76.18364,37.34129,9.371467,36.582233,12.031257,642.97754
31,2021-11-28,35.082222,64.08475,37.223663,8.282521,32.49574,9.38167,794.9875
32,2021-11-29,25.788763,46.8375,37.150253,5.224029,34.11878,10.837497,583.60803
33,2021-11-30,28.524689,53.35083,36.94301,7.271948,32.287968,11.54263,583.5575
34,2021-12-01,31.473604,64.636406,37.075043,8.125175,32.76591,12.137359,432.25085
35,2021-12-02,33.51699,72.64307,37.800236,8.359523,31.780668,15.064735,484.7128
36,2021-12-03,34.958675,69.987404,38.0007,6.8773103,36.54875,13.983287,430.33923
37,2021-12-04,35.924885,58.604343,37.813213,6.509773,31.723774,11.164092,452.49045
38,2021-12-05,38.561195,63.849026,38.17057,7.2576137,25.740103,13.41993,493.4878
39,2021-12-06,41.307426,65.90595,37.94911,8.31795,30.94772,14.671956,565.8333
40,2021-12-07,37.491646,75.12508,38.771812,11.161275,32.223225,14.416813,849.9193
41,2021-12-08,39.160236,70.31737,39.321033,10.144192,27.949814,15.934481,917.65607
42,2021-12-09,45.192703,69.41426,38.827248,9.1908865,35.728985,14.738659,986.9629
43,2021-12-10,42.4546,73.77267,39.732613,10.024121,34.79459,15.78762,633.5383
44,2021-12-11,24.575842,73.08474,39.5452,10.85024,36.15103,17.418562,843.7012
45,2021-12-12,48.458332,73.7843,40.029377,9.662986,39.600056,15.71943,765.55884
46,2021-12-13,43.4313,67.072876,41.008858,10.262281,39.582336,20.306776,1011.23474
47,2021-12-14,54.39388,65.07095,43.205727,10.139077,35.595978,26.656351,987.71423
48,2021-12-15,57.15411,69.54631,41.058083,11.237441,44.685307,11.503178,990.4592
49,2021-12-16,53.636105,80.86323,41.225933,9.687131,38.382896,10.546338,871.9719
50,2021-12-17,63.612392,90.543816,41.71012,11.231795,42.916862,24.081573,772.6432
51,2021-12-18,47.39888,80.366035,40.48621,10.370091,46.746986,23.43815,788.85913
52,2021-12-19,44.76778,65.3768,42.505104,10.860278,38.973427,24.343433,835.42554
53,2021-12-20,49.89792,76.74599,43.80687,12.144831,39.75914,25.218155,1041.1276
54,2021-12-21,50.922573,95.49968,41.160904,12.631103,43.594944,23.625021,1045.7046
55,2021-12-22,56.27381,90.683075,41.189438,12.49578,41.021336,20.14262,948.0115
56,2021-12-23,57.34815,86.76839,38.114426,14.368746,41.76002,19.099672,1137.7742
57,2021-12-24,59.766705,94.58586,34.063293,15.606778,41.31206,21.305408,1438.7113
