,tanggal,pm10,pm25,so2,co,o3,no2,co2
0,2021-10-28,56.8742,77.85385,60.6164,11.075799,48.12318,21.233976,1223.5552
1,2021-10-29,57.84107,70.342354,69.20156,11.170255,47.39192,29.775421,1307.584
2,2021-10-30,58.617107,75.60074,74.77819,11.821237,46.423378,27.300869,1358.6023
3,2021-10-31,60.856873,76.922455,70.5551,11.4689455,48.010666,26.699406,1357.0403
4,2021-11-01,62.928883,87.41505,70.78976,11.377457,48.51711,27.848099,1370.9333
5,2021-11-02,60.232624,84.37451,72.25162,11.766109,45.08446,27.955584,1357.2894
6,2021-11-03,60.865955,81.96124,51.184395,12.381641,49.08206,28.491047,1365.8204
7,2021-11-04,56.878708,79.11251,41.383953,11.815211,45.72084,26.863003,1441.2262
8,2021-11-05,58.483387,75.454056,35.18637,11.784945,45.833305,32.272675,1470.0988
9,2021-11-06,60.258152,78.10132,39.110905,12.429241,45.72891,29.694523,1474.5955
10,2021-11-07,55.264225,75.792725,27.27981,12.397887,43.76934,29.213375,1377.6271
11,2021-11-08,54.10368,64.64329,30.337301,11.644914,48.85853,26.974285,1290.09
12,2021-11-09,55.603695,79.08179,21.694618,12.128622,43.2857,30.536276,1429.3939
13,2021-11-10,56.238846,79.02797,36.102554,12.274301,43.35892,29.962805,1430.4716
14,2021-11-11,50.767788,70.53175,43.332397,10.938663,45.36391,27.716553,1270.1237
15,2021-11-12,46.556202,62.857178,35.072247,11.425978,34.45332,28.34784,1293.6104
16,2021-11-13,49.392536,59.587833,25.553167,11.661095,41.297295,25.536964,1229.4442
17,2021-11-14,46.562412,76.70884,24.736053,11.177962,40.393677,25.427475,1305.6556
18,2021-11-15,45.907406,65.27541,42.033127,11.596928,38.06062,22.31363,1472.2616
19,2021-11-16,46.773537,60.800705,43.052715,10.846222,39.31508,22.519123,1208.8712
20,2021-11-17,41.674465,57.651623,35.79342,10.4340315,38.157604,20.652761,1060.5544
21,2021-11-18,43.550564,71.52851,28.930067,11.141118,38.45416,23.843313,1178.7246
22,2021-11-19,49.93124,72.1627,19.465296,10.433824,39.165794,21.303984,1176.8917
23,2021-11-20,38.026676,59.79319,22.157215,9.103726,39.67387,18.164112,1145.5994
24,2021-11-21,38.459312,53.756973,17.061365,9.943396,37.656773,20.05769,1091.7211
25,2021-11-22,45.39789,60.451458,18.846817,11.071242,40.92091,18.322159,1201.39
26,2021-11-23,39.671295,62.12614,9.375649,10.204347,39.626266,16.084694,1060.7465
27,2021-11-24,30.840668,48.01041,19.526974,8.067086,38.008316,16.447617,938.51105
28,2021-11-25,38.46034,47.314686,11.494966,9.013952,38.473633,17.775732,944.731
29,2021-11-26,34.307545,57.111225,5.633373,9.274252,35.424675,18.731232,991.64716
30,2021-11-27,39.13483,63.50615,9.677936,8.435537,37.917835,20.157227,1039.8218
31,2021-11-28,36.472324,60.29089,8.010469,8.337713,38.38061,15.0636635,1104.6222
32,2021-11-29,29.721737,48.07925,6.5475683,8.698484,38.022152,13.946753,922.8609
33,2021-11-30,29.776619,50.03571,5.057136,8.535061,37.607098,13.819844,883.2315
34,2021-12-01,29.782066,52.52506,3.7468784,8.532922,38.428997,13.89033,900.4867
35,2021-12-02,28.0163,44.903313,5.9012995,7.8242416,38.594013,18.570736,993.34454
36,2021-12-03,32.901985,45.999416,16.352427,8.149195,36.443836,16.966671,1025.9055
37,2021-12-04,31.05244,49.886517,19.635942,8.234406,39.08469,19.868673,910.88165
38,2021-12-05,37.517334,56.97209,25.687574,8.679138,38.249855,16.771381,930.8352
39,2021-12-06,35.563774,59.825756,31.032066,9.102159,36.78702,17.705856,1048.5853
40,2021-12-07,35.37494,60.71352,31.70408,9.866639,40.25402,19.235563,1378.502
41,2021-12-08,37.253788,59.02872,34.259083,9.8093,38.29103,18.741709,1319.3804
42,2021-12-09,37.7756,59.85701,38.10496,10.238492,39.238842,22.55702,1312.8113
43,2021-12-10,41.929317,55.247066,33.3041,11.1912985,42.352573,18.439808,1221.6161
44,2021-12-11,35.61887,58.541115,32.67788,10.900458,38.528557,21.495752,1079.0339
45,2021-12-12,37.29196,49.618687,34.759857,9.614742,41.56519,21.266752,1190.75
46,2021-12-13,42.4892,54.058064,41.039497,11.11566,42.024536,24.207832,1309.0189
47,2021-12-14,38.784252,56.383507,36.766266,11.462801,36.432247,23.33664,1331.4171
48,2021-12-15,39.105663,61.49426,36.897106,10.398153,39.08356,24.771883,1175.7478
49,2021-12-16,47.181744,70.072044,40.004524,11.083512,38.585506,25.408112,1109.5685
50,2021-12-17,41.83668,64.3281,41.69612,10.501278,37.899914,28.66362,1144.3116
51,2021-12-18,42.567844,63.674744,38.65868,10.488851,43.55698,25.54036,1293.9327
