,tanggal,pm10,pm25,so2,co,o3,no2,co2
0,2021-10-28,54.940342,74.06731,28.399717,11.776177,23.419752,35.870697,1786.9828
1,2021-10-29,56.051533,69.59517,28.751966,13.491791,23.802473,35.54229,1915.9646
2,2021-10-30,51.792507,75.05361,28.9515,13.698701,22.228783,37.45401,1963.4363
3,2021-10-31,54.661465,77.31007,28.818132,13.1955185,24.20606,37.062386,1944.0021
4,2021-11-01,54.680157,75.839714,29.532843,13.549105,23.56501,36.43379,1923.8495
5,2021-11-02,53.582924,80.20236,29.179293,13.372293,23.278875,36.37087,1908.8523
6,2021-11-03,55.03816,75.64022,29.042974,13.734454,22.059807,37.009724,2007.6775
7,2021-11-04,52.363083,69.441055,30.598207,13.384319,22.000391,35.537746,2065.9038
8,2021-11-05,53.287834,72.74304,29.797913,14.447044,25.125326,36.49921,2117.0974
9,2021-11-06,53.810646,75.62753,30.658182,15.098116,22.238535,36.885235,2153.43
10,2021-11-07,54.439205,73.839226,29.629356,14.67557,23.3328,36.862873,2126.231
11,2021-11-08,53.116528,63.870014,30.235441,13.363142,22.312895,35.47027,1946.8436
12,2021-11-09,47.281933,65.17003,29.716074,12.988873,20.880274,36.59702,1927.2793
13,2021-11-10,49.71928,70.762924,30.226355,13.692193,20.879663,38.515804,2034.0297
14,2021-11-11,50.904472,66.32954,31.179167,13.267307,18.262766,35.85174,1967.2216
15,2021-11-12,44.51069,62.90189,33.279167,12.520109,18.398817,31.94524,1927.0807
16,2021-11-13,45.917465,60.707687,33.280262,12.284084,15.635585,29.565094,1836.9005
17,2021-11-14,41.411373,64.80908,33.197903,11.566286,20.477144,27.75356,1924.5726
18,2021-11-15,46.551968,61.290226,28.709902,12.697581,17.646383,23.808043,1886.494
19,2021-11-16,42.767334,52.885685,32.105114,10.757946,16.49952,18.925425,1626.1578
20,2021-11-17,34.630093,50.45825,30.549486,9.982288,14.800173,15.944282,1552.695
21,2021-11-18,41.78601,61.141834,36.315228,11.025465,16.684523,14.267938,1645.7966
